,Custkey,Recency,Frequency,Monetary,Recency_pt_mm,Frequency_pt_mm,Monetary_pt_mm,Cluster,R,F,M,RFM_score,RFM_class
0,10000453,0.0022675736961451248,10,8422.15,0.0017309863172371154,0.2945860424082739,0.30943458820873415,2,1,2,2,5,family
1,10000455,0.007194244604316547,19,22403.73,0.2758977636733437,0.37612506331196915,0.39632802305207837,1,1,3,3,7,silver
2,10000456,0.009174311926605505,23,104994.68,0.32870525174509296,0.40034768010034083,0.5380494830722631,1,2,3,4,9,gold
3,10000457,0.008928571428571428,3,14284.800000000001,0.3228881719538712,0.14095891508431174,0.3560867256470316,2,2,1,2,5,family
4,10000458,0.058823529411764705,4,4994.49,0.6829059361293079,0.17774785815218136,0.2639140780696303,3,4,1,2,7,silver
5,10000460,0.1,120,96533.04000000001,0.7696985955511401,0.6088707109553725,0.5301947496544157,0,4,5,4,13,diamond
6,10000461,0.011363636363636364,188,281810.64,0.37386479685935575,0.6652545589463787,0.6316292993390364,1,2,5,5,12,platinum
7,10000462,0.004651162790697674,3,1648.46,0.1769978277492158,0.14095891508431174,0.16934898073733096,2,1,1,1,3,family
8,10000466,0.1,44,27663.75,0.7696985955511401,0.48242608957198246,0.41534694610341755,0,4,4,3,11,platinum
9,10000469,0.010526315789473684,85,81443.15,0.35785382966866774,0.5654795705793355,0.5143565455896556,1,2,4,4,10,gold
10,10000471,0.01020408163265306,34,499743.6,0.3513058055249202,0.44983393920003467,0.6870250655123067,1,2,4,5,11,platinum
11,10000472,0.3333333333333333,74,71371.35,0.9463178525890044,0.5480211124013578,0.5021040781765947,0,5,4,4,13,diamond
12,10000473,0.02564102564102564,8,5643.73,0.5348502935920366,0.2661797888452259,0.27450572164219106,3,3,2,2,7,silver
13,10000474,0.024390243902439025,5,2937.96,0.5254272889896768,0.20624865979268214,0.21831066026781346,3,3,2,1,6,family
14,10000475,0.008928571428571428,41,24624.690000000002,0.3228881719538712,0.4735033358021039,0.40483944000057354,1,2,4,3,9,gold
15,10000478,0.010416666666666666,103,70202.79,0.3556513304156278,0.5896574843209118,0.5005747587379491,1,2,5,4,11,platinum
16,10000481,0.011904761904761904,23,16915.059999999998,0.3835206328390614,0.40034768010034083,0.3711446635641892,1,2,3,3,8,silver
17,10000486,0.0022522522522522522,3,1106.29,0.0,0.14095891508431174,0.13597922169802756,2,1,1,1,3,family
18,10000499,0.002288329519450801,1,2006.58,0.004055040853004399,0.0,0.18592392404764446,2,1,1,1,3,family
19,10000601,0.011904761904761904,22,18972.79,0.3835206328390614,0.39471391841866843,0.38141039701396157,1,2,3,3,8,silver
20,10002114,0.04,1,264.68,0.6160699057642254,0.0,0.019087682610671286,3,4,1,1,6,family
21,10002136,0.5,25,40251.68,1.0,0.4109121250815985,0.44942361887224924,0,5,3,3,11,platinum
22,10002137,0.2,7,5393.92,0.8746497341094956,0.24916665658128767,0.27057815159859655,3,5,2,2,9,gold
23,10002139,0.2,1,3162.38,0.8746497341094956,0.0,0.22459980485820075,3,5,1,1,7,silver
24,10002140,0.012195121951219513,1,499.57,0.3885001161302363,0.0,0.07047319017985659,3,3,1,1,5,family
25,10002142,0.2,60,278532.51,0.8746497341094956,0.5215794012095482,0.6305063339666881,0,5,4,5,14,diamond
26,10002144,0.0022522522522522522,1,287.25,0.0,0.0,0.025660270623202086,2,1,1,1,3,family
27,10002149,0.0022675736961451248,1,294.72,0.0017309863172371154,0.0,0.027725131667981573,2,1,1,1,3,family
28,10002150,0.015151515151515152,3,1349.3999999999999,0.43267694706352855,0.14095891508431174,0.15255715853091745,3,3,1,1,5,family
29,10002155,0.0022624434389140274,2,551.5799999999999,0.0011528509403034848,0.08902158843220692,0.07856071506291706,2,1,1,1,3,family
30,10002161,0.5,278,228881.79,1.0,0.7142840784824,0.611713920544536,0,5,5,5,15,diamond
31,10002220,0.011363636363636364,392,283543.42,0.37386479685935575,0.757279440733742,0.6322177542133829,1,2,5,5,12,platinum
32,10002240,0.041666666666666664,3,735.21,0.6232995952710287,0.14095891508431174,0.10214420852241052,3,4,1,1,6,family
33,10002489,0.012048192771084338,32,26403.37,0.3859972714509343,0.44216453565255975,0.4111327700782357,1,3,3,3,9,gold
34,10002501,0.1111111111111111,39,82840.06,0.7862500675698296,0.46718253309705454,0.5159380441523501,0,4,4,4,12,platinum
35,10002506,0.5,714,600418.78,1.0,0.8321329358185114,0.7049460438219206,0,5,5,5,15,diamond
36,10002520,0.0045045045045045045,10,26752.920000000002,0.16951568962956992,0.2945860424082739,0.41232083344640696,2,1,2,3,6,family
37,10002526,0.003105590062111801,7,8422.58,0.08041856310304091,0.24916665658128767,0.3094390658156008,2,1,2,2,5,family
38,10002709,0.029411764705882353,32,39521.75,0.5603980616082019,0.44216453565255975,0.44775311169332294,1,3,3,3,9,gold
39,10002746,0.1,6,4968.58,0.7696985955511401,0.22951288879503925,0.26346403881580976,3,4,2,2,8,silver
40,10002765,0.25,203,179026.75,0.906526372288319,0.6748832414731153,0.5883318873337603,0,5,5,5,15,diamond
41,10002969,0.0022624434389140274,3,4136.69,0.0011528509403034848,0.14095891508431174,0.24764759111811685,2,1,1,2,4,family
42,10003749,0.004807692307692308,35,112507.91,0.1846958907461838,0.4535002609504273,0.5445230951682387,1,1,4,4,9,gold
43,10003795,0.01020408163265306,12,6517.969999999999,0.3513058055249202,0.31777309505070467,0.28703021524871736,3,2,2,2,6,family
44,10003857,0.1,28,58140.119999999995,0.7696985955511401,0.42526409431318807,0.4831554163676931,0,4,3,4,11,platinum
45,10004207,0.0022675736961451248,6,4247.67,0.0017309863172371154,0.22951288879503925,0.24992818145195855,2,1,2,2,5,family
46,10004245,0.004545454545454545,9,111760.13,0.1716321657342625,0.2811773978198188,0.5438979679855143,1,1,2,4,7,silver
47,10004255,0.3333333333333333,89,84806.45,0.9463178525890044,0.5712700047936928,0.5181207950148415,0,5,5,4,14,diamond
48,10004256,0.009900990099009901,31,22872.53,0.34493061252369744,0.43814723227331054,0.39819104744915734,1,2,3,3,8,silver
49,10004302,0.012048192771084338,87,53293.909999999996,0.3859972714509343,0.5684082285169171,0.47514241156326503,1,3,5,4,12,platinum
50,10004516,0.011494252873563218,8,152283.55000000002,0.37624223513362387,0.2661797888452259,0.5730136959560639,1,2,2,5,9,gold
51,10004602,0.16666666666666666,17,10773.71,0.8479288988123537,0.3620132875267223,0.3310992847829282,0,5,3,2,10,gold
52,10005006,0.3333333333333333,194,372989.73,0.9463178525890044,0.6691955911581344,0.6586339412536577,0,5,5,5,15,diamond
53,10005043,0.008695652173913044,34,169690.27000000002,0.31720565503109655,0.44983393920003467,0.5832537878214601,1,2,4,5,11,platinum
54,10005099,0.0022727272727272726,2,6231.49,0.002310268094488477,0.08902158843220692,0.2831163777206452,2,1,1,2,4,family
55,10005236,0.043478260869565216,4,4249.16,0.6307974084369571,0.17774785815218136,0.24995840366587152,3,4,1,2,7,silver
56,10005376,0.0022522522522522522,1,424.53,0.0,0.0,0.05722648771629579,2,1,1,1,3,family
57,10005810,0.004149377593360996,3,63547.56,0.15019941084056315,0.14095891508431174,0.49136178517276263,2,1,1,4,6,family
58,10005861,0.01694915254237288,3,1084.43,0.4550246800418777,0.14095891508431174,0.13431836341888514,3,3,1,1,5,family
59,10005919,0.002288329519450801,2,1276.13,0.004055040853004399,0.08902158843220692,0.14788953750870087,2,1,1,1,3,family
60,10006037,0.009615384615384616,76,108107.12,0.338718753261802,0.5513815588814245,0.5407843326222312,1,2,4,4,10,gold
61,10006093,0.07692307692307693,29,22001.57,0.7275121545254131,0.4297064859034904,0.3946993081846136,0,4,3,3,10,gold
62,10006805,0.011904761904761904,22,15019.7,0.3835206328390614,0.39471391841866843,0.36054953507606585,1,2,3,2,7,silver
63,10006836,0.3333333333333333,195,186743.07,0.9463178525890044,0.6698405020000832,0.5923376850203835,0,5,5,5,15,diamond
