Custkey,DateKey,Discount Amount,Invoice Number,Item,List Price,Sales Amount,Sales Amount Based on List Price,Sales Cost Amount,Sales Margin Amount,Sales Price,Sales Quantity,U/M,Grade
10008602,2018-03-21,439.24,226437,Tell Tale Summer Squash,195.0,535.76,975.0,372.26,163.5,107.152,5,EA,gold
10008602,2018-03-21,1517.3076,226437,Nationeel Avocado Dip,842.0244,1850.79,3368.0976,1256.2,594.59,462.6975,4,EA,gold
10008602,2018-02-21,193.1,224048,Tell Tale Green Pepper,214.32,235.54,428.64,111.1,124.44,117.77,2,EA,gold
10008602,2018-02-21,613.5,224048,Good Chardonnay Wine,121.34,599.9,1213.4,360.17,239.73,59.99,10,EA,gold
10008602,2018-02-21,710.7,224048,Ebony Fuji Apples,157.76,866.9,1577.6,477.45,389.45,86.69,10,SE,gold
10008602,2018-02-21,1672.01,224048,Ebony Prepared Salad,927.8725,2039.48,3711.49,1113.53,925.95,509.87,4,EA,gold
10008602,2018-02-21,2635.39,224048,Tell Tale Summer Squash,195.0,3214.61,5850.0,2233.59,981.02,107.1536667,30,EA,gold
10008602,2018-02-21,2774.02,224048,Cutting Edge Foot-Long Hot Dogs,548.66,2712.58,5486.6,1156.29,1556.29,271.258,10,EA,gold
10008602,2018-02-21,3768.456,224048,Imagine Popsicles,1045.642,4596.68,8365.136,2421.22,2175.46,574.585,8,EA,gold
10008602,2018-02-21,32419.16,224048,Red Spade Turkey Hot Dogs,1160.7,39544.24,71963.4,19781.11,19763.13,637.8103226,62,EA,gold
10008602,2018-02-03,245.4,222361,Good Chardonnay Wine,121.34,239.96,485.36,144.07,95.89,59.99,4,EA,gold
10008602,2017-12-31,224.8,219452,Blue Label Canned Tomatos,166.34,274.22,499.02,120.11,154.11,91.40666667,3,EA,gold
10008602,2017-12-31,285.66,219452,Blue Label Canned Beets,634.11,348.45,634.11,272.06,76.39,348.45,1,EA,gold
10008602,2017-01-06,304.0,330048,Blue Label Fancy Canned Oysters,14.76,315.92,619.92,281.82,34.1,7.521904762,42,EA,gold
10008602,2017-01-06,1012.4,330048,American Potato Salad,467.53,857.72,1870.12,822.89,34.83,214.43,4,SE,gold
10008602,2017-01-06,183.54,330049,Landslide Pepper,195.61,207.68,391.22,97.46,110.22,103.84,2,EA,gold
10008602,2017-01-06,191.44,330049,Jeffers Wheat Puffs,408.04,216.6,408.04,144.21,72.39,216.6,1,EA,gold
10008602,2017-01-06,213.14,330049,Moms Low Fat Bologna,227.15,241.16,454.3,202.5,38.66,120.58,2,EA,gold
