Purchase YM,Active User,New User,Cum_User,Active User Ratio,Invoice Number,Sales Amount,Sales Quantity,Discount Rate,Sales Amount Per Customer,Sales Quantity Per Transaction
2017-01,297,297,297,1.0,1060,8157589.65,125420,44.77621167883211,27466.63181818182,118.32075471698113
2017-02,224,53,350,0.64,890,7164942.45,117727,43.756166270783844,31986.350223214286,132.27752808988765
2017-03,216,26,376,0.57,831,7434865.04,106905,44.38650634859561,34420.671481481484,128.64620938628158
2017-04,210,2,378,0.56,774,5155986.44,76195,41.62014492753623,24552.316380952383,98.44315245478036
2017-05,241,32,410,0.59,1078,5100806.22,83275,37.63586502609993,21165.171037344397,77.2495361781076
2017-06,228,7,417,0.55,1082,7967623.24,120737,43.593938537619216,34945.715964912284,111.58687615526802
2017-07,218,0,417,0.52,802,5853041.18,90138,43.78918824701196,26848.812752293576,112.39152119700748
2017-08,229,0,417,0.55,948,7654866.68,121751,43.793561120543295,33427.36541484716,128.42932489451476
2017-09,230,3,420,0.55,936,8495614.56,121301,44.41698757763975,36937.454608695654,129.59508547008548
2017-10,203,3,423,0.48,868,6181278.5200000005,76510,44.91705395825128,30449.647881773402,88.14516129032258
2017-11,223,2,425,0.52,900,6996351.96,113932,44.123591470258134,31373.775605381164,126.5911111111111
2017-12,273,27,452,0.6,997,6504039.0200000005,85255,44.702456594015516,23824.318754578755,85.51153460381144
2018-01,207,51,503,0.41,859,4537811.91,29383,44.28481665912177,21921.79666666667,34.20605355064028
2018-02,200,20,523,0.38,709,4977750.02,33055,44.794284341978866,24888.750099999997,46.62200282087447
2018-03,179,6,529,0.34,590,4621407.22,34438,44.869349875930524,25817.917430167596,58.369491525423726
